year	month	passengers
1974	April	1325
1974	May	1375
1974	June	1425
1974	July	1475
1974	August	1525
1974	September	1575
1974	October	1625
1974	November	1675
1974	December	1725
1975	January	1180
1975	February	1230
1975	March	1280
1975	April	1330
1975	May	1380
1975	June	1430
1975	July	1480
1975	August	1530
1975	September	1580
1975	October	1630
1975	November	1680
1975	December	1730
1976	January	1185
1976	February	1235
1976	March	1285
1976	April	1335
1976	May	1385
1976	June	1435
1976	July	1485
1976	August	1535
1976	September	1585
1976	October	1635
1976	November	1685
1976	December	1735
1977	January	1190
1977	February	1240
1977	March	1290
1977	April	1340
1977	May	1390
1977	June	1440
1977	July	1490
1977	August	1540
1977	September	1590
1977	October	1640
1977	November	1690
1977	December	1740
1978	January	1195
1978	February	1245
1978	March	1295
1978	April	1345
1978	May	1395
1978	June	1445
1978	July	1495
1978	August	1545
1978	September	1595
1978	October	1645
1978	November	1695
1978	December	1745
1979	January	1200
1979	February	1250
1979	March	1300
1979	April	1350
1979	May	1400
1979	June	1450
1979	July	1500
1979	August	1550
1979	September	1600
1979	October	1650
1979	November	1700
1979	December	1750
1980	January	1205
1980	February	1255
1980	March	1305
1980	April	1355
1980	May	1405
1980	June	1455
1980	July	1505
1980	August	1555
1980	September	1605
1980	October	1655
1980	November	1705
1980	December	1755
1981	January	1210
1981	February	1260
1981	March	1310
1981	April	1360
1981	May	1410
1981	June	1460
1981	July	1510
1981	August	1560
1981	September	1610
1981	October	1660
1981	November	1710
1981	December	1760
1982	January	1215
1982	February	1265
1982	March	1315
1982	April	1365
1982	May	1415
1982	June	1465
1982	July	1515
1982	August	1565
1982	September	1615
1982	October	1665
1982	November	1715
1982	December	1765
1983	January	1220
1983	February	1270
1983	March	1320
1983	April	1370
1983	May	1420
1983	June	1470
1983	July	1520
1983	August	1570
1983	September	1620
1983	October	1670
1983	November	1720
1983	December	1770
1984	January	1225
1984	February	1275
1984	March	1325
1984	April	1375
1984	May	1425
1984	June	1475
1984	July	1525
1984	August	1575
1984	September	1625
1984	October	1675
1984	November	1725
1984	December	1775
1985	January	1230
1985	February	1280
1985	March	1330
1985	April	1380
1985	May	1430
1985	June	1480
1985	July	1530
1985	August	1580
1985	September	1630
1985	October	1680
1985	November	1730
1985	December	1780
1986	January	1235
1986	February	1285
1986	March	1335
1986	April	1385
1986	May	1435
1986	June	1485
1986	July	1535
1986	August	1585
1986	September	1635
1986	October	1685
1986	November	1735
1986	December	1785
1987	January	1240
1987	February	1290
1987	March	1340
1987	April	1390
1987	May	1440
1987	June	1490
1987	July	1540
1987	August	1590
1987	September	1640
1987	October	1690
1987	November	1740
1987	December	1790
1988	January	1245
1988	February	1295
1988	March	1345
1988	April	1395
1988	May	1445
1988	June	1495
1988	July	1545
1988	August	1595
1988	September	1645
1988	October	1695
1988	November	1745
1988	December	1795
1989	January	1250
1989	February	1300
1989	March	1350
1989	April	1400
1989	May	1450
1989	June	1500
1989	July	1550
1989	August	1600
1989	September	1650
1989	October	1700
1989	November	1750
1989	December	1800
1990	January	1255
1990	February	1305
1990	March	1355
1990	April	1405
1990	May	1455
1990	June	1505
1990	July	1555
1990	August	1605
1990	September	1655
1990	October	1705
1990	November	1755
1990	December	1805
1991	January	1260
1991	February	1310
1991	March	1360
1991	April	1410
1991	May	1460
1991	June	1510
1991	July	1560
1991	August	1610
1991	September	1660
1991	October	1710
1991	November	1760
1991	December	1810
1992	January	1265
1992	February	1315
1992	March	1365
1992	April	1415
1992	May	1465
1992	June	1515
1992	July	1565
1992	August	1615
1992	September	1665
1992	October	1715
1992	November	1765
1992	December	1815
1993	January	1270
1993	February	1320
1993	March	1370
1993	April	1420
1993	May	1470
1993	June	1520
1993	July	1570
1993	August	1620
1993	September	1670
1993	October	1720
1993	November	1770
1993	December	1820
1994	January	1275
1994	February	1325
1994	March	1375
1994	April	1425
1994	May	1475
1994	June	1525
1994	July	1575
1994	August	1625
1994	September	1675
1994	October	1725
1994	November	1775
1994	December	1825
1995	January	1280
1995	February	1330
1995	March	1380
1995	April	1430
1995	May	1480
1995	June	1530
1995	July	1580
1995	August	1630
1995	September	1680
1995	October	1730
1995	November	1780
1995	December	1830
1996	January	1285
1996	February	1335
1996	March	1385
1996	April	1435
1996	May	1485
1996	June	1535
1996	July	1585
1996	August	1635
1996	September	1685
1996	October	1735
1996	November	1785
1996	December	1835
1997	January	1290
1997	February	1340
1997	March	1390
1997	April	1440
1997	May	1490
1997	June	1540
1997	July	1590
1997	August	1640
1997	September	1690
1997	October	1740
1997	November	1790
1997	December	1840
1998	January	1295
1998	February	1345
1998	March	1395
1998	April	1445
1998	May	1495
1998	June	1545
1998	July	1595
1998	August	1645
1998	September	1695
1998	October	1745
1998	November	1795
1998	December	1845
1999	January	1300
1999	February	1350
1999	March	1400
1999	April	1450
1999	May	1500
1999	June	1550
1999	July	1600
1999	August	1650
1999	September	1700
1999	October	1750
1999	November	1800
1999	December	1850
2000	January	1305
2000	February	1355
2000	March	1405
2000	April	1455
2000	May	1505
2000	June	1555
2000	July	1605
2000	August	1655
2000	September	1705
2000	October	1755
2000	November	1805
2000	December	1855
2001	January	1310
2001	February	1360
2001	March	1410
2001	April	1460
2001	May	1510
2001	June	1560
2001	July	1610
2001	August	1660
2001	September	1710
2001	October	1760
2001	November	1810
2001	December	1860
2002	January	1315
2002	February	1365
2002	March	1415
2002	April	1465
2002	May	1515
2002	June	1565
2002	July	1615
2002	August	1665
2002	September	1715
2002	October	1765
2002	November	1815
2002	December	1865
2003	January	1320
2003	February	1370
2003	March	1420
2003	April	1470
2003	May	1520
2003	June	1570
2003	July	1620
2003	August	1670
2003	September	1720
2003	October	1770
2003	November	1820
2003	December	1870
2004	January	1325
2004	February	1375
2004	March	1425
2004	April	1475
2004	May	1525
2004	June	1575
2004	July	1625
2004	August	1675
2004	September	1725
2004	October	1775
2004	November	1825
2004	December	1875
2005	January	1330
2005	February	1380
2005	March	1430
2005	April	1480
2005	May	1530
2005	June	1580
2005	July	1630
2005	August	1680
2005	September	1730
2005	October	1780
2005	November	1830
2005	December	1880
2006	January	1335
2006	February	1385
2006	March	1435
2006	April	1485
2006	May	1535
2006	June	1585
2006	July	1635
2006	August	1685
2006	September	1735
2006	October	1785
2006	November	1835
2006	December	1885
2007	January	1340
2007	February	1390
2007	March	1440
2007	April	1490
2007	May	1540
2007	June	1590
2007	July	1640
2007	August	1690
2007	September	1740
2007	October	1790
2007	November	1840
2007	December	1890
2008	January	1345
2008	February	1395
2008	March	1445
2008	April	1495
2008	May	1545
2008	June	1595
2008	July	1645
2008	August	1695
2008	September	1745
2008	October	1795
2008	November	1845
2008	December	1895
2009	January	1350
2009	February	1400
2009	March	1450
2009	April	1500
2009	May	1550
2009	June	1600
2009	July	1650
2009	August	1700
2009	September	1750
2009	October	1800
2009	November	1850
2009	December	1900
2010	January	1355
2010	February	1405
2010	March	1455
2010	April	1505
2010	May	1555
2010	June	1605
2010	July	1655
2010	August	1705
2010	September	1755
2010	October	1805
2010	November	1855
2010	December	1905
2011	January	1360
2011	February	1410
2011	March	1460
2011	April	1510
2011	May	1560
2011	June	1610
2011	July	1660
2011	August	1710
2011	September	1760
2011	October	1810
2011	November	1860
2011	December	1910
2012	January	1365
2012	February	1415
2012	March	1465
2012	April	1515
2012	May	1565
2012	June	1615
2012	July	1665
2012	August	1715
2012	September	1765
2012	October	1815
2012	November	1865
2012	December	1915
2013	January	1370
2013	February	1420
2013	March	1470
2013	April	1520
2013	May	1570
2013	June	1620
2013	July	1670
2013	August	1720
2013	September	1770
2013	October	1820
2013	November	1870
2013	December	1920
2014	January	1375
2014	February	1425
2014	March	1475
2014	April	1525
2014	May	1575
2014	June	1625
2014	July	1675
2014	August	1725
2014	September	1775
2014	October	1825
2014	November	1875
2014	December	1925
2015	January	1380
2015	February	1430
2015	March	1480
2015	April	1530
2015	May	1580
2015	June	1630
2015	July	1680
2015	August	1730
2015	September	1780
2015	October	1830
2015	November	1880
2015	December	1930
2016	January	1385
2016	February	1435
2016	March	1485
2016	April	1535
2016	May	1585
2016	June	1635
2016	July	1685
2016	August	1735
2016	September	1785
2016	October	1835
2016	November	1885
2016	December	1935
2017	January	1390
2017	February	1440
2017	March	1490
2017	April	1540
2017	May	1590
2017	June	1640
2017	July	1690
2017	August	1740
2017	September	1790
2017	October	1840
2017	November	1890
2017	December	1940
2018	January	1395
2018	February	1445
2018	March	1495
2018	April	1545
2018	May	1595
2018	June	1645
2018	July	1695
2018	August	1745
2018	September	1795
2018	October	1845
2018	November	1895
2018	December	1945
2019	January	1400
2019	February	1450
2019	March	1500
2019	April	1550
2019	May	1600
2019	June	1650
2019	July	1700
2019	August	1750
2019	September	1800
2019	October	1850
2019	November	1900
2019	December	1950
2020	January	1405
2020	February	1455
2020	March	1505
2020	April	1555
2020	May	1605
2020	June	1655
2020	July	1705
2020	August	1755
2020	September	1805
2020	October	1855
2020	November	1905
2020	December	1955
2021	January	1410
2021	February	1460
2021	March	1510
2021	April	1560
2021	May	1610
2021	June	1660
2021	July	1710
2021	August	1760
2021	September	1810
2021	October	1860
2021	November	1910
2021	December	1960
2022	January	1415
2022	February	1465
2022	March	1515
2022	April	1565
2022	May	1615
2022	June	1665
2022	July	1715
2022	August	1765
2022	September	1815
2022	October	1865
2022	November	1915
2022	December	1965
2023	January	1420
2023	February	1470
2023	March	1520
2023	April	1570
2023	May	1620
2023	June	1670
2023	July	1720
2023	August	1770
2023	September	1820
2023	October	1870
2023	November	1920
2023	December	1970
